Time,CH1_demo [V],CH2_demo [V],CH3_demo [V]
0.0,0.0,0.1477601033306698,0.0
0.01,0.06279051952931337,0.20646267644414484,0.18551683935329727
0.02,0.12533323356430426,0.261909209815271,0.36083519815316417
0.03,0.18738131458572463,0.3132252784906322,0.5199907199429794
0.04,0.24868988716485485,0.35960159741248454,0.6577056299785708
0.05,0.30901699437494745,0.4003067843275601,0.7695607699705787
0.06,0.368124552684678,0.4346988941221081,0.8521340270400714
0.07,0.4257792915650727,0.46223554267981826,0.9031009535013031
0.08,0.48175367410171527,0.48248246060333894,0.9212947871429132
0.09,0.5358267949789965,0.4951203419020933,0.9067245648973511
0.1,0.587785252292473,0.4999498796384962,0.8605515226107814
0.11,0.6374239897486896,0.49689490911741807,0.785025436971666
0.12,0.6845471059286886,0.48600360904892764,0.6833839417790563
0.13,0.7289686274214117,0.46744774174125203,0.5597190929574791
0.14,0.7705132427757894,0.4415199443065712,0.4188165240139584
0.15,0.8090169943749475,0.4086291135989457,0.2659733919094146
0.16,0.8443279255020151,0.36929395766666434,0.10680193653287322
0.17,0.8763066800438636,0.32413481541646244,-0.05297415214268977
0.18,0.9048270524660195,0.2738638734983899,-0.2077232546280335
0.19,0.9297764858882513,0.2192739346968998,-0.3521020742036709
0.2,0.9510565162951536,0.16122591495733993,-0.4812378622575479
0.21,0.9685831611286312,0.10063526622720984,-0.590890485194307
0.22,0.9822872507286887,0.03845753923208233,-0.6775890318600299
0.23,0.9921147013144777,-0.024326686130155473,-0.7387386608556826
0.24,0.9980267284282716,-0.08672726512006262,-0.7726945189936536
0.25,1.0,-0.14776010333066966,-0.7788007830714049
0.26,0.9980267284282717,-0.2064626764441448,-0.7573941423889808
0.27,0.9921147013144777,-0.26190920981527105,-0.7097723036436695
0.28,0.9822872507286887,-0.31322527849063236,-0.6381293185514639
0.29,0.9685831611286313,-0.3596015974124844,-0.5454606658071959
0.3,0.9510565162951538,-0.40030678432756,-0.43544202474626464
0.31,0.9297764858882515,-0.43469889412210805,-0.312286525421737
0.32,0.9048270524660195,-0.4622355426798182,-0.18058592209472396
0.33,0.8763066800438635,-0.48248246060333894,-0.04514159472414416
0.34,0.844327925502015,-0.49512034190209325,0.08920847610694634
0.35000000000000003,0.8090169943749476,-0.49994987963849613,0.2177605954567006
0.36,0.7705132427757894,-0.49689490911741807,0.33610813341850526
0.37,0.7289686274214116,-0.48600360904892764,0.44029063289125286
0.38,0.6845471059286888,-0.46744774174125214,0.5269242720214333
0.39,0.6374239897486897,-0.4415199443065713,0.5933094618923614
0.4,0.5877852522924731,-0.40862911359894577,0.637512247785462
0.41000000000000003,0.5358267949789965,-0.3692939576666644,0.658417169691273
0.42,0.48175367410171555,-0.32413481541646283,0.6557502880042212
0.43,0.4257792915650729,-0.2738638734983902,0.6300721553100341
0.44,0.36812455268467814,-0.21927393469689982,0.5827415765694232
0.45,0.30901699437494756,-0.16122591495733998,0.5158520107539004
0.46,0.24868988716485485,-0.10063526622720968,0.4321433925518782
0.47000000000000003,0.18738131458572457,-0.03845753923208218,0.3348929622685219
0.48,0.12533323356430454,0.024326686130155196,0.22778935931734345
0.49,0.06279051952931358,0.08672726512006255,0.11479473909218887
0.5,1.2246467991473532e-16,0.1477601033306696,2.228357493005427e-16
0.51,-0.06279051952931333,0.20646267644414473,-0.11252165096075821
0.52,-0.1253332335643043,0.261909209815271,-0.218857610783377
0.53,-0.1873813145857248,0.3132252784906323,-0.3153903144114625
