Time,Channel 1 [g],Channel 2 [g],Channel 3 [g],Channel 4 [g]
0.0,0.09906630199990417,0.010632200428623678,-0.37829634597601125,0.09411264990565067
0.01,0.10065169378499249,0.013322521048507858,-0.37871964224457794,0.09937263999130155
0.02,0.10241558529155367,0.012713045637865801,-0.38035264228862814,0.09626500857989165
0.03,0.09891275626568889,0.013716461714247393,-0.3773953594926654,0.09701998550604907
0.04,0.09892131945146694,0.013196419197291514,-0.37683439256896595,0.09985885117861179
0.05,0.10255240912453985,0.014025181211279537,-0.3819207362034294,0.09463293074635891
0.06,0.10092830692491143,0.010855605374248454,-0.3802264440650038,0.09441302151330143
0.07,0.09844865833989436,0.014560863752137655,-0.3802316318130478,0.0960400592308354
0.08,0.10046178500026132,0.0123212744552404,-0.38055894804621987,0.09928401558556604
0.09,0.09843449316838875,0.016076596433086343,-0.3769946839508907,0.09416856573257372
0.1,0.09841137109510602,0.01054769834785569,-0.3790056827387577,0.09154294668730627
0.11,0.09980675659058416,0.015398000798417412,-0.3791279417414879,0.09630494016670942
0.12,0.09547672368385433,0.012321893953275074,-0.3826152955318457,0.09831073948334924
0.13,0.0958364133475881,0.01062323564471795,-0.3773775179924871,0.09960778138300506
0.14,0.09814911873852093,0.010958299408792633,-0.3811987490313411,0.09628093515935661
0.15,0.09724161652360774,0.011285376126589704,-0.3786969336157834,0.0963844046692954
0.16,0.09989665460874657,0.012774402608873352,-0.37836950153078963,0.0995150593520389
0.17,0.09746078054253851,0.012971742013175691,-0.3762859426523114,0.09346777448413657
0.18,0.09646840026551656,0.010778671706666309,-0.3816658054780358,0.09643021633316139
0.19,0.10224691608680354,0.011877363534932487,-0.38507625296441933,0.09758810566337753
0.2,0.09889127800127347,0.016210614701258553,-0.37859941890486437,0.09810569532609748
0.21,0.09950724779868406,0.015381161744354787,-0.37523188406579855,0.09618764449714565
0.22,0.09655133610851394,0.01279872418548322,-0.37615469953291514,0.09727613990693909
0.23,0.09833696918212155,0.01200208511390872,-0.3780049226369323,0.09223060317670143
0.24,0.09966587461478735,0.012166141834918442,-0.37925255427531623,0.09589076105885971
0.25,0.09715132173576882,0.013153115718147094,-0.37657895465070795,0.09811427530863634
0.26,0.10020330725724712,0.00988049468451585,-0.3801618545481151,0.09524266981501806
0.27,0.09823787396207459,0.011411326162002466,-0.3773933007069,0.09732522632670661
0.28,0.09883208017293069,0.008588909877536462,-0.377537756047463,0.09810100288513281
0.29,0.09817905029480031,0.012724522478818216,-0.37664379965567796,0.09652215948181188
0.3,0.10304738697126441,0.013220465863440308,-0.3734567580332706,0.09754818542552054
0.31,0.09927315915800987,0.010959698538222547,-0.37836284722528535,0.09528179275295819
0.32,0.09714318512460184,0.01507404243445151,-0.38023996915382663,0.09679403532413532
0.33,0.10086765710781165,0.009474535263326679,-0.3792193916630211,0.09842769022270585
0.34,0.09675448766629895,0.008997315023945669,-0.3825889365214658,0.09752120380546428
0.35000000000000003,0.09960061455001856,0.01237496738527317,-0.3802668011255978,0.09603419534439954
0.36,0.09526572840842516,0.014020260289015372,-0.3795018161573053,0.097655690692109
0.37,0.09654729025055568,0.01529392009713025,-0.37958447144623575,0.09863647746480064
0.38,0.09963170887790543,0.011008298333681613,-0.37818594897439245,0.09310737532637245
0.39,0.1007626148697694,0.0140834316889315,-0.3801576298190612,0.0995254060134392
0.4,0.09968556716462648,0.011849057045033412,-0.37636479030741793,0.09653474840616527
